id,name,type,country,company_hint,domain,linkedin_candidate,linkedin_confidence,linkedin_source,email_candidate,email_confidence,email_source,action,notes
0a3ea566-2578-493c-9b5f-0980522fd84f,Tina Sharkey,angel,USA,,,,0.0,,,0.0,,none,no domain | skipped
0ae726f0-20fe-4355-8de0-82b830abc48d,Nihal Parthasarathi,angel,USA,,,,0.0,,,0.0,,none,no domain | skipped
f34d658e-b1e6-418f-971b-095826693bde,Ali Rowghani,vc,USA,YC Continuity Fund,,,0.0,,,0.0,,none,no domain | skipped
3dc0fd87-a02a-4156-a807-56d7225382b8,Ayesha Khanna,angel,Singapore,,,,0.0,,,0.0,,none,no domain | skipped
e40b0315-7fe8-4d89-ada8-7ebbd3eaceaf,Min-Liang Tan,angel,Singapore,,,,0.0,,,0.0,,none,no domain | skipped
aa73dd46-328a-4066-b48d-a5123c652b70,Darius Cheung,angel,Singapore,,,,0.0,,,0.0,,none,no domain | skipped
ad6e263f-9bce-459b-87a7-cf01ed1e28b3,Vinnie Lauria,vc,Singapore,,,,0.0,,,0.0,,none,no domain | skipped
d7cf0d6b-b3e1-40fb-8e81-7ae9e1351df5,Jeff Paine,vc,Singapore,,,,0.0,,,0.0,,none,no domain | skipped
7c68ed38-58c7-4801-a5ea-77219aa97432,Deepak Malhotra,vc,India,Endiya Partners,,,0.0,,,0.0,,none,no domain | skipped
bc480d8f-b686-4594-a743-d11b70360bbb,T.C. Mehra,vc,USA,Saama Capital,,,0.0,,,0.0,,none,no domain | skipped
9577bd81-e23a-4b8d-85ae-1f51b699c5b1,Avnish Bajaj,vc,India,Matrix Partners,matrixpartners.com,https://www.linkedin.com/in/antrod,0.45,https://matrixpartners.com,,0.0,,none,linkedin link found on public website | skipped
d4353318-30ef-483c-a5be-1c71877202e7,Tarun Davda,vc,India,Matrix Partners,matrixpartners.com,https://www.linkedin.com/in/antrod,0.45,https://matrixpartners.com,,0.0,,none,linkedin link found on public website | skipped
37f1881a-91ba-404d-8a45-aa50c0ba018e,Shekhar Kirani,vc,India,Accel,accel.com,https://www.linkedin.com/company/accel-vc,0.55,https://accel.com,,0.0,,none,linkedin link found on public website | skipped
c77de003-0506-4a02-bc12-22e8fa358426,Prashanth Prakash,vc,India,Accel,accel.com,https://www.linkedin.com/company/accel-vc,0.55,https://accel.com,,0.0,,none,linkedin link found on public website | skipped
ce634021-fd96-41e4-a008-771c87c82d2d,Anand Daniel,vc,India,Accel,accel.com,https://www.linkedin.com/company/accel-vc,0.55,https://accel.com,,0.0,,none,linkedin link found on public website | skipped
457bb364-26be-4638-9c45-c6d22c5e002e,Tejeshwi Sharma,vc,India,Sequoia,sequoiacap.com,,0.0,,,0.0,,none,skipped
17291d3d-52cf-4f53-922a-38eb11d571ba,Abheek Anand,vc,India,Sequoia,sequoiacap.com,,0.0,,,0.0,,none,skipped
034ac499-4000-40f5-890e-b2bfbee10a53,Sameer Nath,vc,India,,,,0.0,,,0.0,,none,no domain | skipped
09f41a48-ea69-4347-940e-62946c6bb1d7,Ashish Gupta,vc,India,,,,0.0,,,0.0,,none,no domain | skipped
48d3ed2e-81be-447c-b1d9-6ac7a798b60b,Taizo Son,angel,Japan,,,,0.0,,,0.0,,none,no domain | skipped
5a4a9b0c-6a97-4aec-9c20-07372e0acc82,Yat Siu,vc,Hong Kong,,,,0.0,,,0.0,,none,no domain | skipped
f50b39fa-9326-4891-8ff9-69e6c2643148,Robby Yung,vc,Hong Kong,,,,0.0,,,0.0,,none,no domain | skipped
3cdf6071-67f1-48f7-bce1-3e0766fedcfd,Bernard Moon,vc,South Korea,,,,0.0,,,0.0,,none,no domain | skipped
4f7a66ec-c40b-4def-bd0f-f3ad56c450fe,Jimmy Kim,vc,South Korea,,,,0.0,,,0.0,,none,no domain | skipped
110e15c7-adbc-443f-8436-b1db173aaeba,Frank Rutten,vc,Netherlands,Newion Investments,,,0.0,,,0.0,,none,no domain | skipped
ee658da3-6148-40fc-9038-7032ebaa0d81,Luciana Lixandru,vc,UK,Sequoia,sequoiacap.com,,0.0,,,0.0,,none,skipped
9e946a45-9e0f-4c52-9173-1509d60880e0,Andrew Lee,vc,UK,Sequoia,sequoiacap.com,,0.0,,,0.0,,none,skipped
6e19fc62-e532-47d1-af98-c1e5b7f2119a,Julien Bek,vc,UK,Sequoia,sequoiacap.com,,0.0,,,0.0,,none,skipped
8b5dc28b-73ae-4c69-8e09-9089d0891168,Stephanie Ziadeh,vc,Singapore,Sequoia,sequoiacap.com,,0.0,,,0.0,,none,skipped
b958ceca-66eb-426c-b8ae-2fee846a3aa0,Nandu Nandkishore,angel,Singapore,Nestle,,,0.0,,,0.0,,none,no domain | skipped
b5e293ca-0a20-4700-b131-871308afce19,Nitesh Banta,angel,USA,,,,0.0,,,0.0,,none,no domain | skipped
9b28babf-a755-4e45-ab0b-deed101fa12e,Lea von Bidder,angel,Switzerland,,,,0.0,,,0.0,,none,no domain | skipped
a1e5e872-7a3d-44ce-985b-f1be281a620e,Ida Tin,angel,Germany,,,,0.0,,,0.0,,none,no domain | skipped
2350dccb-3557-4c9b-8b09-ae6591e126b5,Sarah Drinkwater,vc,UK,Common Magic,,,0.0,,,0.0,,none,no domain | skipped
88a555f9-e612-4f3c-a37e-51437c138950,Aziz Abdel-Qader,vc,UAE,MEVP,,,0.0,,,0.0,,none,no domain | skipped
b8bcb75e-88b1-4481-a419-6b75b31d41fc,Pule Taukobong,vc,USA,Base10 Partners,,,0.0,,,0.0,,none,no domain | skipped
97c87292-7fe7-4eec-a405-340f5bd49132,Wen Lee,vc,USA,Translink Capital,,,0.0,,,0.0,,none,no domain | skipped
1d80021e-66e8-45f2-994f-869bfc5389fc,Juliana Garaizar,angel,USA,,,,0.0,,,0.0,,none,no domain | skipped
bf2aa862-2076-411a-9cbf-7e7024f2f8af,Shirin Dehghan,angel,UK,,,,0.0,,,0.0,,none,no domain | skipped
e699f2ea-e76a-4d00-a491-2f7cea171d8a,Yael Elish,angel,USA,,,,0.0,,,0.0,,none,no domain | skipped
a8184f11-3160-4e44-9688-4af21084602a,Danny Lange,angel,USA,Unity,,,0.0,,,0.0,,none,no domain | skipped
944c1f47-cc77-4746-af7d-36f430ae8870,Kelechi Nwosu,angel,Nigeria,,,,0.0,,,0.0,,none,no domain | skipped
7d308274-c028-47d9-b7fc-887b192b8ee7,Dare Okoudjou,angel,South Africa,,,,0.0,,,0.0,,none,no domain | skipped
0e497c59-125d-4103-be9e-be4a83f8572b,Kaidi Ruusalepp,angel,Estonia,,,,0.0,,,0.0,,none,no domain | skipped
cb8bd4ca-a17a-43ee-8ece-9b693f25b3f6,Priit Salumaa,vc,Estonia,Tera Ventures,,,0.0,,,0.0,,none,no domain | skipped
47177c86-ee46-44a1-b9cf-2af55d3b7eec,Ragnar Sass,angel,Estonia,,,,0.0,,,0.0,,none,no domain | skipped
a7d85a13-e547-4e10-81ee-7025546becc4,Martin Henk,angel,Estonia,,,,0.0,,,0.0,,none,no domain | skipped
99819320-bab4-47b2-8afe-561ccf738a9e,Kristo Kaarmann,angel,UK,Wise,wise.com,https://www.linkedin.com/company/wiseaccount,0.2,https://wise.com,,0.0,,none,linkedin link found on public website | skipped
bb6bd660-52e9-4fcc-9673-c6a403a6fae6,Markus Villig,angel,Estonia,,,,0.0,,,0.0,,none,no domain | skipped
516be7f0-e4c1-47ff-94b5-53c75551a5fc,Sten Tamkivi,angel,Estonia,,,,0.0,,,0.0,,none,no domain | skipped
c33f5e2d-7949-4961-945b-aec21f14cad8,Carmen Alfonso Rico,vc,Spain,Antler Spain,,,0.0,,,0.0,,none,no domain | skipped
13d70543-c455-400a-8180-77e9e57a5a2b,Pau Garcia-Mila,angel,Spain,,,,0.0,,,0.0,,none,no domain | skipped
11721ce5-9b89-4866-9931-c8459ac1a65a,Cyril Bertrand,vc,France,Ventech,,,0.0,,,0.0,,none,no domain | skipped
fcd1c16c-e20e-4ccd-a342-58cc0b65ea9d,Alexis Houssou,angel,Mauritius,,,,0.0,,,0.0,,none,no domain | skipped
8052a70c-976e-4d5e-90d7-10ded722ad35,Hemi Zucker,angel,Israel,,,,0.0,,,0.0,,none,no domain | skipped
2045c5da-3964-45a7-b755-170fdf41e7cc,Maor Fridman,angel,Israel,,,,0.0,,,0.0,,none,no domain | skipped
409ff648-a6a6-4c41-a8a5-9a348dab4fef,Ariel Maislos,angel,Israel,,,,0.0,,,0.0,,none,no domain | skipped
e8399384-8a75-4e80-ad80-e5913c15110f,Kevin Carter,angel,USA,,,,0.0,,,0.0,,none,no domain | skipped
d01e8bd2-d8a1-4233-bbe3-4e3c8932acc0,Erica Brescia,vc,USA,GitHub,github.com,https://www.linkedin.com/company/github,0.55,https://github.com,,0.0,,none,linkedin link found on public website | skipped
e54a607f-886a-42b9-9890-5fb9167f9c78,Tomas Tunguz,vc,USA,Theory Ventures,,,0.0,,,0.0,,none,no domain | skipped
d06a5ed6-be2d-4b12-a8d9-ece1c2001bd3,Mike Volpi,vc,USA,Index Ventures,indexventures.com,https://www.linkedin.com/company/index-ventures,0.55,https://indexventures.com,,0.0,,none,linkedin link found on public website | skipped
7a352a16-15b2-4b27-9820-5a36d5335ada,Travis Kalanick,angel,USA,Uber,uber.com,,0.0,,,0.0,,none,skipped
23c862de-e0e1-4b64-9001-5a8dfae4acbf,Garrett Camp,vc,USA,Uber,uber.com,,0.0,,,0.0,,none,skipped
bcdecce8-08eb-42a4-b8ed-60f7b3da77e9,Logan Green,angel,USA,,,,0.0,,,0.0,,none,no domain | skipped
c884887d-bef0-407f-afe4-646a68ed08f3,John Zimmer,angel,USA,,,,0.0,,,0.0,,none,no domain | skipped
b3fa806c-1927-4505-9b33-dd5b9acb883c,Stanley Tang,angel,USA,DoorDash,doordash.com,https://www.linkedin.com/company/doordash,0.2,https://doordash.com/about,,0.0,,none,linkedin link found on public website | skipped
ca1ee8e6-3cb5-40b2-ba25-253c2337c509,Andy Fang,angel,USA,DoorDash,doordash.com,https://www.linkedin.com/company/doordash,0.2,https://doordash.com/about,,0.0,,none,linkedin link found on public website | skipped
2d0e021c-c782-45fb-8eeb-c98717d7f5e0,Cliff Obrecht,angel,Australia,Canva,canva.com,https://www.linkedin.com/company/canva,0.2,https://canva.com,,0.0,,none,linkedin link found on public website | skipped
677ef1d5-dab2-4052-82a5-50ec203171ce,Cameron Adams,angel,Australia,Canva,canva.com,https://www.linkedin.com/company/canva,0.2,https://canva.com,,0.0,,none,linkedin link found on public website | skipped
76a6d4f3-966a-4ce6-acfc-3d814de8e83d,Nick Molnar,angel,Australia,,,,0.0,,,0.0,,none,no domain | skipped
2fc94d02-05fc-40b1-8c00-d079bf7afc77,Anthony Eisen,angel,Australia,,,,0.0,,,0.0,,none,no domain | skipped
53d1748e-0fa5-417b-bd59-ca6c3645cb5d,David Shein,angel,Australia,,,,0.0,,,0.0,,none,no domain | skipped
1cb05cbd-c562-4b9a-af17-b83b221f8826,Niki Scevak,vc,Australia,Blackbird,blackbird.vc,https://www.linkedin.com/company/blackbirdvc,0.55,https://blackbird.vc,,0.0,,none,linkedin link found on public website | skipped
8a42d9ec-057d-4695-bcb8-edec199bd52b,Rick Baker,vc,Australia,Blackbird,blackbird.vc,https://www.linkedin.com/company/blackbirdvc,0.55,https://blackbird.vc,,0.0,,none,linkedin link found on public website | skipped
7fde1993-7528-4c82-ab2b-020122680a32,Sam Wong,vc,Australia,Blackbird,blackbird.vc,https://www.linkedin.com/company/blackbirdvc,0.55,https://blackbird.vc,,0.0,,none,linkedin link found on public website | skipped
d8bb22b4-07e8-4a52-af8a-b6cc97ca8cc1,Brian Requarth,angel,USA,,,,0.0,,,0.0,,none,no domain | skipped
66c1913c-70d8-47a3-a131-4d9c840bfc67,Henrique Dubugras,angel,USA,Brex,brex.com,https://www.linkedin.com/in/michaelkimsf,0.45,https://brex.com,,0.0,,none,linkedin link found on public website | skipped
f5240998-5b69-47c4-a451-f48a0d2713b3,Dylan Field,angel,USA,Figma,figma.com,https://www.linkedin.com/in/masaya-takizawa,0.45,https://figma.com,,0.0,,none,linkedin link found on public website | skipped
596c945c-28f8-4458-94b8-793533d13e3b,Andrew Reed,vc,USA,Sequoia,sequoiacap.com,,0.0,,,0.0,,none,skipped
811df783-3ea8-4fc5-b0f5-3d7f11afa1a1,Carl Fritjofsson,vc,Sweden,Creandum,creandum.com,https://www.linkedin.com/company/creandum,0.55,https://creandum.com,,0.0,,none,linkedin link found on public website | skipped
b213a2a8-356a-4591-a276-4880dd2d04c3,Simon Schmincke,vc,Sweden,Creandum,creandum.com,https://www.linkedin.com/company/creandum,0.55,https://creandum.com,,0.0,,none,linkedin link found on public website | skipped
844df0ab-9c44-463d-a648-fab8407b1917,Staffan Helgesson,vc,Sweden,Creandum,creandum.com,https://www.linkedin.com/company/creandum,0.55,https://creandum.com,,0.0,,none,linkedin link found on public website | skipped
c089f53a-730c-4192-8b49-bd8de07f4e8d,Ted Persson,vc,Sweden,EQT Ventures,,,0.0,,,0.0,,none,no domain | skipped
5f53670c-803c-4f6e-a84e-5ace444e0829,Lars Jornow,vc,Sweden,EQT Ventures,,,0.0,,,0.0,,none,no domain | skipped
348a452b-35eb-4a19-b88f-cc082a8dbbe9,Lena Elkjær,vc,Czech Republic,Rockaway Capital,,,0.0,,,0.0,,none,no domain | skipped
c2da1027-ac97-4843-93b6-87edfaadf33b,Jan Sambrook,vc,Czech Republic,Presto Ventures,,,0.0,,,0.0,,none,no domain | skipped
fe89399b-d001-433b-9454-d43976f4e17e,Lejla Sadikovic,vc,Bosnia,,,,0.0,,,0.0,,none,no domain | skipped
6e7813f4-6fd8-4455-aa50-c805dfd3d33d,Tomasz Czechowicz,vc,Poland,,,,0.0,,,0.0,,none,no domain | skipped
a8870066-53cb-4472-8095-7eaa74d630ab,Michal Rokosz,vc,Poland,Inovo VC,,,0.0,,,0.0,,none,no domain | skipped
