first_name,last_name,company,domain,bio,industries
David,Samuels,14 BRASS CASTLE FUNDING L.P.,14brasscastlefundinglp.com,SEC Form D Filer (Director at 14 BRASS CASTLE FUNDING L.P.),"form_d, recent_funding"
Jose,Ramos,535 Hutchins LLC,535hutchins.com,SEC Form D Filer (Director at 535 Hutchins LLC),"form_d, recent_funding"
Raul,Luna,535 Hutchins LLC,535hutchins.com,SEC Form D Filer (Director at 535 Hutchins LLC),"form_d, recent_funding"
Alan,Luna,535 Hutchins LLC,535hutchins.com,SEC Form D Filer (Director at 535 Hutchins LLC),"form_d, recent_funding"
Isaac,Fried,19 ROCKAWAY FUNDING L.P.,19rockawayfundinglp.com,SEC Form D Filer (Director at 19 ROCKAWAY FUNDING L.P.),"form_d, recent_funding"
David,Samuels,19 ROCKAWAY FUNDING L.P.,19rockawayfundinglp.com,SEC Form D Filer (Director at 19 ROCKAWAY FUNDING L.P.),"form_d, recent_funding"
Isaac,Fried,23 NEIL FUNDING L.P.,23neilfundinglp.com,SEC Form D Filer (Director at 23 NEIL FUNDING L.P.),"form_d, recent_funding"
David,Samuels,23 NEIL FUNDING L.P.,23neilfundinglp.com,SEC Form D Filer (Director at 23 NEIL FUNDING L.P.),"form_d, recent_funding"
Cesar,Gonzalez,El Paso Minerals Corp.,elpasominerals.com,SEC Form D Filer (Director at El Paso Minerals Corp.),"form_d, recent_funding"
Maxwell,Pluss,El Paso Minerals Corp.,elpasominerals.com,SEC Form D Filer (Director at El Paso Minerals Corp.),"form_d, recent_funding"
John,Cooney,El Paso Minerals Corp.,elpasominerals.com,SEC Form D Filer (Director at El Paso Minerals Corp.),"form_d, recent_funding"
Patrick,Phillips,Synthetics Inc.,synthetics.com,SEC Form D Filer (Director at Synthetics Inc.),"form_d, recent_funding"
Lynda,Phillips,Synthetics Inc.,synthetics.com,SEC Form D Filer (Director at Synthetics Inc.),"form_d, recent_funding"
Ian,Phillips,Synthetics Inc.,synthetics.com,SEC Form D Filer (Director at Synthetics Inc.),"form_d, recent_funding"
